match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
IndiaVsSouthAfrica,India,1,Rohit Sharma,9,5,2,0,180,out,T20I # 2729
IndiaVsSouthAfrica,India,2,Virat Kohli,76,59,6,2,128.81,out,T20I # 2729
IndiaVsSouthAfrica,India,3,Rishabh Pant,0,2,0,0,0,out,T20I # 2729
IndiaVsSouthAfrica,India,4,Suryakumar Yadav,3,4,0,0,75,out,T20I # 2729
IndiaVsSouthAfrica,India,5,Axar Patel,47,31,1,4,151.61,out,T20I # 2729
IndiaVsSouthAfrica,India,6,Shivam Dube,27,16,3,1,168.75,out,T20I # 2729
IndiaVsSouthAfrica,India,7,Hardik Pandya,5,2,1,0,250,not out,T20I # 2729
IndiaVsSouthAfrica,India,8,Ravindra Jadeja,2,2,0,0,100,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,1,Reeza Hendricks,4,5,1,0,80,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,2,Quinton de Kock,39,31,4,1,125.8,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,3,Aiden Markram,4,5,1,0,80,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,4,Tristan Stubbs,31,21,3,1,147.61,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,5,Heinrich Klaasen,52,27,2,5,192.59,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,6,David Miller,21,17,1,1,123.52,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,7,Marco Jansen,2,4,0,0,50,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,8,Keshav Maharaj,2,7,0,0,28.57,not out,T20I # 2729
IndiaVsSouthAfrica,South Africa,9,Kagiso Rabada,4,3,1,0,133.33,out,T20I # 2729
IndiaVsSouthAfrica,South Africa,10,Anrich Nortje,1,1,0,0,100,not out,T20I # 2729
EnglandVsIndia,India,1,Rohit Sharma,57,39,6,2,146.15,out,T20I # 2724
EnglandVsIndia,India,2,Virat Kohli,9,9,0,1,100,out,T20I # 2724
EnglandVsIndia,India,3,Rishabh Pant,4,6,0,0,66.66,out,T20I # 2724
EnglandVsIndia,India,4,Suryakumar Yadav,47,36,4,2,130.55,out,T20I # 2724
EnglandVsIndia,India,5,Hardik Pandya,23,13,1,2,176.92,out,T20I # 2724
EnglandVsIndia,India,6,Ravindra Jadeja,17,9,2,0,188.88,not out,T20I # 2724
EnglandVsIndia,India,7,Shivam Dube,0,1,0,0,0,out,T20I # 2724
EnglandVsIndia,India,8,Axar Patel,10,6,0,1,166.66,out,T20I # 2724
EnglandVsIndia,India,9,Arshdeep Singh,1,1,0,0,100,not out,T20I # 2724
EnglandVsIndia,England,1,Phil Salt,5,8,0,0,62.5,out,T20I # 2724
EnglandVsIndia,England,2,Jos Buttler,23,15,4,0,153.33,out,T20I # 2724
EnglandVsIndia,England,3,Moeen Ali,8,10,0,0,80,out,T20I # 2724
EnglandVsIndia,England,4,Jonny Bairstow,0,3,0,0,0,out,T20I # 2724
EnglandVsIndia,England,5,Harry Brook,25,19,3,0,131.57,out,T20I # 2724
EnglandVsIndia,England,6,Sam Curran,2,4,0,0,50,out,T20I # 2724
EnglandVsIndia,England,7,Liam Livingstone,11,16,0,0,68.75,out,T20I # 2724
EnglandVsIndia,England,8,Chris Jordan,1,5,0,0,20,out,T20I # 2724
EnglandVsIndia,England,9,Jofra Archer,21,15,1,2,140,out,T20I # 2724
EnglandVsIndia,England,10,Adil Rashid,2,2,0,0,100,out,T20I # 2724
EnglandVsIndia,England,11,Reece Topley,3,3,0,0,100,not out,T20I # 2724
AfghanistanVsSouthAfrica,Afghanistan,1,Rahmanullah Gurbaz,0,3,0,0,0,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,2,Ibrahim Zadran,2,5,0,0,40,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,3,Gulbadin Naib,9,8,2,0,112.5,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,4,Azmatullah Omarzai,10,12,2,0,83.33,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,5,Mohammad Nabi,0,3,0,0,0,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,6,Nangeyalia Kharote,2,7,0,0,28.57,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,7,Karim Janat,8,13,1,0,61.53,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,8,Rashid Khan,8,8,2,0,100,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,9,Noor Ahmad,0,2,0,0,0,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,10,Naveen-ul-Haq,2,8,0,0,25,out,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,11,Fazalhaq Farooqi,2,2,0,0,100,not out,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,1,Quinton de Kock,5,8,1,0,62.5,out,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,2,Reeza Hendricks,29,25,3,1,116,not out,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,3,Aiden Markram,23,21,4,0,109.52,not out,T20I # 2723
BangladeshVsAfghanistan,Afghanistan,1,Rahmanullah Gurbaz,43,55,3,1,78.18,out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,2,Ibrahim Zadran,18,29,1,0,62.06,out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,3,Azmatullah Omarzai,10,12,0,0,83.33,out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,4,Gulbadin Naib,4,3,1,0,133.33,out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,5,Mohammad Nabi,1,5,0,0,20,out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,6,Karim Janat,7,6,1,0,116.66,not out,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,7,Rashid Khan,19,10,0,3,190,not out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,1,Litton Das,54,49,5,1,110.2,not out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,2,Tanzid Hasan,0,3,0,0,0,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,3,Najmul Hossain Shanto,5,5,1,0,100,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,4,Shakib Al Hasan,0,1,0,0,0,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,5,Soumya Sarkar,10,10,1,0,100,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,6,Towhid Hridoy,14,9,2,0,155.55,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,7,Mahmudullah,6,9,1,0,66.66,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,8,Rishad Hossain,0,1,0,0,0,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,9,Tanzim Hasan Sakib,3,10,0,0,30,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,10,Taskin Ahmed,2,9,0,0,22.22,out,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,11,Mustafizur Rahman,0,1,0,0,0,out,T20I # 2722
IndiaVsAustralia,India,1,Rohit Sharma,92,41,7,8,224.39,out,T20I # 2721
IndiaVsAustralia,India,2,Virat Kohli,0,5,0,0,0,out,T20I # 2721
IndiaVsAustralia,India,3,Rishabh Pant,15,14,1,1,107.14,out,T20I # 2721
IndiaVsAustralia,India,4,Suryakumar Yadav,31,16,3,2,193.75,out,T20I # 2721
IndiaVsAustralia,India,5,Shivam Dube,28,22,2,1,127.27,out,T20I # 2721
IndiaVsAustralia,India,6,Hardik Pandya,27,17,1,2,158.82,not out,T20I # 2721
IndiaVsAustralia,India,7,Ravindra Jadeja,9,5,0,1,180,not out,T20I # 2721
IndiaVsAustralia,Australia,1,David Warner,6,6,1,0,100,out,T20I # 2721
IndiaVsAustralia,Australia,2,Travis Head,76,43,9,4,176.74,out,T20I # 2721
IndiaVsAustralia,Australia,3,Mitchell Marsh,37,28,3,2,132.14,out,T20I # 2721
IndiaVsAustralia,Australia,4,Glenn Maxwell,20,12,2,1,166.66,out,T20I # 2721
IndiaVsAustralia,Australia,5,Marcus Stoinis,2,4,0,0,50,out,T20I # 2721
IndiaVsAustralia,Australia,6,Tim David,15,11,1,1,136.36,out,T20I # 2721
IndiaVsAustralia,Australia,7,Matthew Wade,1,2,0,0,50,out,T20I # 2721
IndiaVsAustralia,Australia,8,Pat Cummins,11,7,0,1,157.14,not out,T20I # 2721
IndiaVsAustralia,Australia,9,Mitchell Starc,4,7,0,0,57.14,not out,T20I # 2721
WestIndiesVsSouthAfrica,West Indies,1,Kyle Mayers,35,34,3,2,102.94,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,2,Shai Hope,0,1,0,0,0,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,3,Nicholas Pooran,1,3,0,0,33.33,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,4,Roston Chase,52,42,3,2,123.8,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,5,Rovman Powell,1,2,0,0,50,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,6,Sherfane Rutherford,0,4,0,0,0,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,7,Andre Russell,15,9,0,2,166.66,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,8,Akeal Hosein,6,11,1,0,54.54,out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,9,Alzarri Joseph,11,7,0,1,157.14,not out,T20I # 2720
WestIndiesVsSouthAfrica,West Indies,10,Gudakesh Motie,4,7,1,0,57.14,not out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,1,Quinton de Kock,12,7,3,0,171.42,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,2,Reeza Hendricks,0,1,0,0,0,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,3,Aiden Markram,18,15,2,0,120,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,4,Tristan Stubbs,29,27,4,0,107.4,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,5,Heinrich Klaasen,22,10,3,1,220,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,6,David Miller,4,14,0,0,28.57,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,7,Marco Jansen,21,14,1,1,150,not out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,8,Keshav Maharaj,2,6,0,0,33.33,out,T20I # 2720
WestIndiesVsSouthAfrica,South Africa,9,Kagiso Rabada,5,3,1,0,166.66,not out,T20I # 2720
EnglandVsUSA,USA,1,Steven Taylor,12,13,2,0,92.3,out,T20I # 2719
EnglandVsUSA,USA,2,Andries Gous,8,5,0,1,160,out,T20I # 2719
EnglandVsUSA,USA,3,Nitish Kumar,30,24,1,2,125,out,T20I # 2719
EnglandVsUSA,USA,4,Aaron Jones,10,16,2,0,62.5,out,T20I # 2719
EnglandVsUSA,USA,5,Corey Anderson,29,28,0,1,103.57,out,T20I # 2719
EnglandVsUSA,USA,6,Milind Kumar,4,6,0,0,66.66,out,T20I # 2719
EnglandVsUSA,USA,7,Harmeet Singh,21,17,2,1,123.52,out,T20I # 2719
EnglandVsUSA,USA,8,Shadley van Schalkwyk,0,0,0,0,-,not out,T20I # 2719
EnglandVsUSA,USA,9,Ali Khan,0,2,0,0,0,out,T20I # 2719
EnglandVsUSA,USA,10,Nosthush Kenjige,0,1,0,0,0,out,T20I # 2719
EnglandVsUSA,USA,11,Saurabh Netravalkar,0,1,0,0,0,out,T20I # 2719
EnglandVsUSA,England,1,Phil Salt,25,21,2,0,119.04,not out,T20I # 2719
EnglandVsUSA,England,2,Jos Buttler,83,38,6,7,218.42,not out,T20I # 2719
AfghanistanVsAustralia,Afghanistan,1,Rahmanullah Gurbaz,60,49,4,4,122.44,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,2,Ibrahim Zadran,51,48,6,0,106.25,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,3,Azmatullah Omarzai,2,3,0,0,66.66,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,4,Karim Janat,13,9,0,1,144.44,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,5,Rashid Khan,2,5,0,0,40,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,6,Mohammad Nabi,10,4,2,0,250,not out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,7,Gulbadin Naib,0,1,0,0,0,out,T20I # 2717
AfghanistanVsAustralia,Afghanistan,8,Nangeyalia Kharote,1,1,0,0,100,not out,T20I # 2717
AfghanistanVsAustralia,Australia,1,Travis Head,0,3,0,0,0,out,T20I # 2717
AfghanistanVsAustralia,Australia,2,David Warner,3,8,0,0,37.5,out,T20I # 2717
AfghanistanVsAustralia,Australia,3,Mitchell Marsh,12,9,2,0,133.33,out,T20I # 2717
AfghanistanVsAustralia,Australia,4,Glenn Maxwell,59,41,6,3,143.9,out,T20I # 2717
AfghanistanVsAustralia,Australia,5,Marcus Stoinis,11,17,1,0,64.7,out,T20I # 2717
AfghanistanVsAustralia,Australia,6,Tim David,2,4,0,0,50,out,T20I # 2717
AfghanistanVsAustralia,Australia,7,Matthew Wade,5,7,0,0,71.42,out,T20I # 2717
AfghanistanVsAustralia,Australia,8,Pat Cummins,3,9,0,0,33.33,out,T20I # 2717
AfghanistanVsAustralia,Australia,9,Ashton Agar,2,5,0,0,40,out,T20I # 2717
AfghanistanVsAustralia,Australia,10,Adam Zampa,9,7,1,0,128.57,out,T20I # 2717
AfghanistanVsAustralia,Australia,11,Josh Hazlewood,5,7,0,0,71.42,not out,T20I # 2717
BangladeshVsIndia,India,1,Rohit Sharma,23,11,3,1,209.09,out,T20I # 2716
BangladeshVsIndia,India,2,Virat Kohli,37,28,1,3,132.14,out,T20I # 2716
BangladeshVsIndia,India,3,Rishabh Pant,36,24,4,2,150,out,T20I # 2716
BangladeshVsIndia,India,4,Suryakumar Yadav,6,2,0,1,300,out,T20I # 2716
BangladeshVsIndia,India,5,Shivam Dube,34,24,0,3,141.66,out,T20I # 2716
BangladeshVsIndia,India,6,Hardik Pandya,50,27,4,3,185.18,not out,T20I # 2716
BangladeshVsIndia,India,7,Axar Patel,3,5,0,0,60,not out,T20I # 2716
BangladeshVsIndia,Bangladesh,1,Litton Das,13,10,1,1,130,out,T20I # 2716
BangladeshVsIndia,Bangladesh,2,Tanzid Hasan,29,31,4,0,93.54,out,T20I # 2716
BangladeshVsIndia,Bangladesh,3,Najmul Hossain Shanto,40,32,1,3,125,out,T20I # 2716
BangladeshVsIndia,Bangladesh,4,Towhid Hridoy,4,6,0,0,66.66,out,T20I # 2716
BangladeshVsIndia,Bangladesh,5,Shakib Al Hasan,11,7,1,1,157.14,out,T20I # 2716
BangladeshVsIndia,Bangladesh,6,Mahmudullah,13,15,1,0,86.66,out,T20I # 2716
BangladeshVsIndia,Bangladesh,7,Jaker Ali,1,4,0,0,25,out,T20I # 2716
BangladeshVsIndia,Bangladesh,8,Rishad Hossain,24,10,1,3,240,out,T20I # 2716
BangladeshVsIndia,Bangladesh,9,Mahedi Hasan,5,4,1,0,125,not out,T20I # 2716
BangladeshVsIndia,Bangladesh,10,Tanzim Hasan Sakib,1,1,0,0,100,not out,T20I # 2716
WestIndiesVsUSA,USA,1,Steven Taylor,2,7,0,0,28.57,out,T20I # 2713
WestIndiesVsUSA,USA,2,Andries Gous,29,16,3,1,181.25,out,T20I # 2713
WestIndiesVsUSA,USA,3,Nitish Kumar,20,19,2,0,105.26,out,T20I # 2713
WestIndiesVsUSA,USA,4,Aaron Jones,11,11,0,1,100,out,T20I # 2713
WestIndiesVsUSA,USA,5,Corey Anderson,7,15,0,0,46.66,out,T20I # 2713
WestIndiesVsUSA,USA,6,Milind Kumar,19,21,1,0,90.47,out,T20I # 2713
WestIndiesVsUSA,USA,7,Harmeet Singh,0,1,0,0,0,out,T20I # 2713
WestIndiesVsUSA,USA,8,Shadley van Schalkwyk,18,17,3,0,105.88,out,T20I # 2713
WestIndiesVsUSA,USA,9,Nosthush Kenjige,1,3,0,0,33.33,out,T20I # 2713
WestIndiesVsUSA,USA,10,Ali Khan,14,6,1,1,233.33,not out,T20I # 2713
WestIndiesVsUSA,USA,11,Saurabh Netravalkar,0,4,0,0,0,out,T20I # 2713
WestIndiesVsUSA,West Indies,1,Shai Hope,82,39,4,8,210.25,not out,T20I # 2713
WestIndiesVsUSA,West Indies,2,Johnson Charles,15,14,2,0,107.14,out,T20I # 2713
WestIndiesVsUSA,West Indies,3,Nicholas Pooran,27,12,1,3,225,not out,T20I # 2713
EnglandVsSouthAfrica,South Africa,1,Reeza Hendricks,19,25,1,0,76,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,2,Quinton de Kock,65,38,4,4,171.05,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,3,Heinrich Klaasen,8,13,1,0,61.53,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,4,David Miller,43,28,4,2,153.57,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,5,Aiden Markram,1,2,0,0,50,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,6,Tristan Stubbs,12,11,1,0,109.09,not out,T20I # 2712
EnglandVsSouthAfrica,South Africa,7,Marco Jansen,0,1,0,0,0,out,T20I # 2712
EnglandVsSouthAfrica,South Africa,8,Keshav Maharaj,5,2,1,0,250,not out,T20I # 2712
EnglandVsSouthAfrica,England,1,Phil Salt,11,8,1,1,137.5,out,T20I # 2712
EnglandVsSouthAfrica,England,2,Jos Buttler,17,20,1,0,85,out,T20I # 2712
EnglandVsSouthAfrica,England,3,Jonny Bairstow,16,20,1,0,80,out,T20I # 2712
EnglandVsSouthAfrica,England,4,Moeen Ali,9,10,0,0,90,out,T20I # 2712
EnglandVsSouthAfrica,England,5,Harry Brook,53,37,7,0,143.24,out,T20I # 2712
EnglandVsSouthAfrica,England,6,Liam Livingstone,33,17,3,2,194.11,out,T20I # 2712
EnglandVsSouthAfrica,England,7,Sam Curran,10,7,1,0,142.85,not out,T20I # 2712
EnglandVsSouthAfrica,England,8,Jofra Archer,1,2,0,0,50,not out,T20I # 2712
AustraliaVsBangladesh,Bangladesh,1,Tanzid Hasan,0,3,0,0,0,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,2,Litton Das,16,25,2,0,64,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,3,Najmul Hossain Shanto,41,36,5,1,113.88,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,4,Rishad Hossain,2,4,0,0,50,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,5,Towhid Hridoy,40,28,2,2,142.85,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,6,Shakib Al Hasan,8,10,0,0,80,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,7,Mahmudullah,2,3,0,0,66.66,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,8,Mahedi Hasan,0,1,0,0,0,out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,9,Taskin Ahmed,13,7,1,0,185.71,not out,T20I # 2711
AustraliaVsBangladesh,Bangladesh,10,Tanzim Hasan Sakib,4,3,0,0,133.33,not out,T20I # 2711
AustraliaVsBangladesh,Australia,1,David Warner,53,35,5,3,151.42,not out,T20I # 2711
AustraliaVsBangladesh,Australia,2,Travis Head,31,21,3,2,147.61,out,T20I # 2711
AustraliaVsBangladesh,Australia,3,Mitchell Marsh,1,6,0,0,16.66,out,T20I # 2711
AustraliaVsBangladesh,Australia,4,Glenn Maxwell,14,6,1,1,233.33,not out,T20I # 2711
IndiaVsAfghanistan,India,1,Rohit Sharma,8,13,1,0,61.53,out,T20I # 2710
IndiaVsAfghanistan,India,2,Virat Kohli,24,24,0,1,100,out,T20I # 2710
IndiaVsAfghanistan,India,3,Rishabh Pant,20,11,4,0,181.81,out,T20I # 2710
IndiaVsAfghanistan,India,4,Suryakumar Yadav,53,28,5,3,189.28,out,T20I # 2710
IndiaVsAfghanistan,India,5,Shivam Dube,10,7,0,1,142.85,out,T20I # 2710
IndiaVsAfghanistan,India,6,Hardik Pandya,32,24,3,2,133.33,out,T20I # 2710
IndiaVsAfghanistan,India,7,Ravindra Jadeja,7,5,1,0,140,out,T20I # 2710
IndiaVsAfghanistan,India,8,Axar Patel,12,6,2,0,200,out,T20I # 2710
IndiaVsAfghanistan,India,9,Arshdeep Singh,2,2,0,0,100,not out,T20I # 2710
